year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,2
1894,0
1895,1
1896,4
1897,2
1898,0
1899,0
1900,0
1901,0
1902,7
1903,2
1904,4
1905,1
1906,4
1907,3
1908,0
1909,1
1910,2
1911,0
1912,0
1913,1
1914,2
1915,8
1916,0
1917,0
1918,1
1919,1
1920,0
1921,1
1922,1
1923,2
1924,2
1925,1
1926,1
1927,1
1928,2
1929,0
1930,0
1931,0
