year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,2
1887,0
1888,0
1889,2
1890,1
1891,1
1892,0
1893,0
1894,3
1895,6
1896,7
1897,4
1898,2
1899,1
1900,1
1901,0
1902,1
1903,0
1904,1
1905,8
1906,40
1907,9
1908,2
1909,3
1910,2
1911,1
1912,3
1913,1
1914,1
1915,1
1916,5
1917,1
1918,2
1919,5
1920,0
1921,0
1922,4
1923,0
1924,0
1925,0
1926,0
1927,1
1928,1
1929,1
1930,0
1931,0
