year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,1
1883,5
1884,0
1885,1
1886,0
1887,0
1888,6
1889,0
1890,2
1891,2
1892,1
1893,4
1894,2
1895,2
1896,0
1897,8
1898,2
1899,0
1900,1
1901,1
1902,3
1903,0
1904,1
1905,0
1906,0
1907,0
1908,4
1909,3
1910,6
1911,1
1912,2
1913,0
1914,1
1915,2
1916,0
1917,1
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,1
1929,0
1930,0
1931,0
