year,"Erwähnungen"
1879,0
1880,0
1881,1
1882,0
1883,2
1884,2
1885,4
1886,3
1887,3
1888,3
1889,4
1890,2
1891,2
1892,0
1893,0
1894,0
1895,0
1896,3
1897,3
1898,0
1899,1
1900,1
1901,0
1902,0
1903,1
1904,0
1905,2
1906,1
1907,1
1908,1
1909,0
1910,1
1911,1
1912,1
1913,3
1914,0
1915,0
1916,0
1917,2
1918,0
1919,2
1920,1
1921,0
1922,0
1923,0
1924,0
1925,1
1926,2
1927,0
1928,0
1929,1
1930,4
1931,2
