year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,3
1894,6
1895,4
1896,2
1897,3
1898,0
1899,2
1900,1
1901,2
1902,16
1903,10
1904,21
1905,13
1906,17
1907,14
1908,6
1909,18
1910,44
1911,39
1912,43
1913,28
1914,26
1915,24
1916,14
1917,21
1918,11
1919,7
1920,12
1921,18
1922,18
1923,9
1924,9
1925,6
1926,2
1927,7
1928,18
1929,15
1930,19
1931,10
