year,"Erwähnungen"
1879,0
1880,2
1881,1
1882,0
1883,0
1884,0
1885,1
1886,0
1887,0
1888,2
1889,0
1890,0
1891,2
1892,1
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,1
1902,1
1903,0
1904,1
1905,0
1906,0
1907,0
1908,3
1909,3
1910,6
1911,1
1912,1
1913,0
1914,0
1915,2
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,1
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
