year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,9
1897,15
1898,2
1899,0
1900,0
1901,0
1902,1
1903,0
1904,0
1905,1
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,1
1913,0
1914,0
1915,1
1916,5
1917,1
1918,0
1919,1
1920,2
1921,2
1922,2
1923,124
1924,205
1925,198
1926,188
1927,231
1928,236
1929,290
1930,267
1931,229
