year,"Erwähnungen"
1879,1
1880,16
1881,24
1882,20
1883,5
1884,0
1885,1
1886,1
1887,0
1888,0
1889,1
1890,0
1891,1
1892,3
1893,0
1894,3
1895,2
1896,2
1897,1
1898,0
1899,1
1900,0
1901,2
1902,2
1903,10
1904,28
1905,27
1906,2
1907,0
1908,0
1909,0
1910,1
1911,0
1912,0
1913,0
1914,1
1915,0
1916,0
1917,0
1918,1
1919,1
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,1
1929,0
1930,0
1931,0
