year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,1
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,2
1900,0
1901,0
1902,1
1903,2
1904,2
1905,2
1906,0
1907,0
1908,0
1909,1
1910,0
1911,0
1912,0
1913,0
1914,0
1915,1
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
