year,"Erwähnungen"
1879,0
1880,3
1881,1
1882,2
1883,4
1884,3
1885,6
1886,2
1887,0
1888,2
1889,5
1890,2
1891,3
1892,11
1893,9
1894,9
1895,4
1896,14
1897,7
1898,7
1899,4
1900,5
1901,4
1902,17
1903,13
1904,20
1905,21
1906,24
1907,13
1908,19
1909,25
1910,51
1911,53
1912,65
1913,58
1914,43
1915,36
1916,31
1917,28
1918,32
1919,23
1920,30
1921,41
1922,36
1923,26
1924,19
1925,28
1926,18
1927,38
1928,47
1929,44
1930,48
1931,44
