year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,10
1901,19
1902,21
1903,41
1904,51
1905,63
1906,25
1907,30
1908,17
1909,11
1910,16
1911,19
1912,17
1913,22
1914,12
1915,7
1916,9
1917,18
1918,22
1919,18
1920,29
1921,7
1922,5
1923,3
1924,3
1925,1
1926,1
1927,5
1928,1
1929,2
1930,1
1931,1
