year,"Erwähnungen"
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,2
1895,0
1896,12
1897,0
1898,6
1899,3
1900,9
1901,5
1902,5
1903,2
1904,6
1905,6
1906,5
1907,1
1908,7
1909,1
1910,1
1911,7
1912,1
1913,3
1914,1
1915,1
1916,1
1917,0
1918,6
1919,1
1920,3
1921,1
1922,4
1923,0
1924,1
1925,4
1926,2
1927,2
1928,4
1929,1
1930,3
1931,0
