year,"Erwähnungen"
1879,0
1880,2
1881,0
1882,0
1883,0
1884,0
1885,1
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,1
1903,1
1904,2
1905,3
1906,19
1907,2
1908,6
1909,9
1910,4
1911,3
1912,5
1913,3
1914,1
1915,3
1916,4
1917,13
1918,17
1919,8
1920,4
1921,8
1922,9
1923,3
1924,4
1925,2
1926,1
1927,2
1928,3
1929,1
1930,1
1931,0
