year,"Erwähnungen"
1879,2
1880,5
1881,6
1882,3
1883,1
1884,0
1885,3
1886,4
1887,4
1888,4
1889,6
1890,6
1891,17
1892,16
1893,16
1894,4
1895,2
1896,2
1897,3
1898,1
1899,0
1900,0
1901,0
1902,2
1903,2
1904,0
1905,1
1906,3
1907,0
1908,2
1909,4
1910,4
1911,3
1912,7
1913,5
1914,5
1915,11
1916,8
1917,7
1918,6
1919,4
1920,4
1921,4
1922,5
1923,10
1924,4
1925,3
1926,5
1927,3
1928,2
1929,2
1930,2
1931,2
